tranco_rank,domain,cctld
48,youtu.be,be
99,workbox.dk,dk
114,europa.eu,eu
141,iiko.it,it
213,t-online.de,de
254,linktr.ee,ee
319,ack.de,de
380,amazon.de,de
409,tiktokv.eu,eu
443,gandi-ns.fr,fr
507,google.de,de
608,amazon.fr,fr
627,free.fr,fr
669,webempresa.eu,eu
674,lemonde.fr,fr
705,amazon.it,it
717,seznam.cz,cz
724,amazon.es,es
764,bild.de,de
765,ddnss.de,de
771,allegro.pl,pl
797,welt.de,de
802,wp.pl,pl
830,lefigaro.fr,fr
833,focus.de,de
843,ebay.de,de
896,kleinanzeigen.de,de
942,repubblica.it,it
955,otto.de,de
959,corriere.it,it
979,onet.pl,pl
980,elmundo.es,es
1027,interia.pl,pl
1049,ouest-france.fr,fr
1051,n-tv.de,de
1066,google.fr,fr
1087,bund.de,de
1088,skroutz.gr,gr
1098,franceinfo.fr,fr
1104,usercentrics.eu,eu
1106,wetteronline.de,de
1109,idnes.cz,cz
1118,olx.pl,pl
1172,mobile.de,de
1176,superhosting.bg,bg
1184,aftonbladet.se,se
1191,leboncoin.fr,fr
1192,nu.nl,nl
1200,ad.nl,nl
1201,lequipe.fr,fr
1222,marktplaats.nl,nl
1224,remove.bg,bg
1237,gazzetta.it,it
1243,sapo.pt,pt
1251,zalando.de,de
1258,hln.be,be
1262,poste.it,it
1278,spiegel.de,de
1282,ladepeche.fr,fr
1294,emag.ro,ro
1299,actu.fr,fr
1311,ilfattoquotidiano.it,it
1327,leroymerlin.fr,fr
1340,subito.it,it
1343,mediaexpert.pl,pl
1353,sport.es,es
1380,novinky.cz,cz
1389,ilmeteo.it,it
1392,idealista.it,it
1398,google.it,it
1408,inps.it,it
1417,iltalehti.fi,fi
1420,otomoto.pl,pl
1424,index.hr,hr
1426,protothema.gr,gr
1428,jutarnji.hr,hr
1437,immobiliare.it,it
1444,toyhou.se,se
1454,ekstrabladet.dk,dk
1463,leroymerlin.es,es
1477,xvideos.es,es
1492,markt.de,de
1494,xnxx.es,es
1501,bt.dk,dk
1506,joyclub.de,de
1529,your-server.de,de
1533,listcrawler.eu,eu
1561,meteociel.fr,fr
1566,ladies.de,de
1573,foreca.fi,fi
1597,publi24.ro,ro
1607,kicker.de,de
1619,skelbiu.lt,lt
1629,administracionelectronica.gob.es,es
1640,autoplius.lt,lt
1656,flashscore.fr,fr
1685,livescore.cz,cz
1707,annunci69.it,it
1787,vinted.fr,fr
1796,google.es,es
1816,home.pl,pl
1832,google.nl,nl
1850,telefonica.de,de
1851,merkur.de,de
1868,com.be,be
1985,spaggiari.eu,eu
1986,agenciatributaria.gob.es,es
1991,diretta.it,it
1997,kicktipp.de,de
2037,delegaciondelgobierno.gob.es,es
2052,rzone.de,de
2069,orange.fr,fr
2085,librus.pl,pl
2165,redd.it,it
2207,websupport.sk,sk
2232,geoedge.be,be
2286,lin.ee,ee
2289,simpli.fi,fi
2312,loopia.se,se
2317,shorturl.at,at
2337,telekom.de,de
2402,web.de,de
2459,ioam.de,de
2466,mpg.de,de
2570,rtve.es,es
2572,ionos.de,de
2601,webgo.de,de
2603,zeit.de,de
2610,ccc.de,de
2625,google.pl,pl
2637,transip.nl,nl
2642,leparisien.fr,fr
2716,heise.de,de
2799,dns.eu,eu
2831,admatic.de,de
2863,strato.de,de
2872,sueddeutsche.de,de
2896,zdf.de,de
2901,chip.de,de
2907,cnil.fr,fr
2915,wanadoo.fr,fr
2925,skycdn.it,it
2946,check24.de,de
2983,elster.de,de
2991,haxx.se,se
3011,univie.ac.at,at
3046,libero.it,it
3080,google.at,at
3089,kahoot.it,it
3104,rqtrk.eu,eu
3107,innogames.de,de
3126,curl.se,se
3134,google.be,be
3137,youronlinechoices.eu,eu
3148,idealo.de,de
3177,tagesschau.de,de
3183,register.it,it
3288,tfkc.de,de
3295,dhl.de,de
3300,google.se,se
3312,joyn.de,de
3349,second-ns.de,de
3380,tagesspiegel.de,de
3381,amazon.se,se
3397,braze.eu,eu
3432,ec-lyon.fr,fr
3437,bahn.de,de
3440,fraunhofer.de,de
3455,nic.de,de
3459,cnrs.fr,fr
3480,orf.at,at
3488,e-recht24.de,de
3507,abc.es,es
3525,br.de,de
3528,politico.eu,eu
3529,amazon.nl,nl
3530,ziggo.nl,nl
3532,serveriai.lt,lt
3539,google.gr,gr
3543,google.cz,cz
3555,tori.fi,fi
3567,sfr.fr,fr
3578,ndr.de,de
3583,radiofrance.fr,fr
3622,adscale.de,de
3632,ansa.it,it
3635,cnr.it,it
3636,immobilienscout24.de,de
3656,yle.fi,fi
3682,google.pt,pt
3702,ardmediathek.de,de
3732,your-storageshare.de,de
3733,aruba.it,it
3741,dns.it,it
3753,liberation.fr,fr
3758,weborama.fr,fr
3782,google.dk,dk
3836,gemius.pl,pl
3841,rte.ie,ie
3865,nos.nl,nl
3884,google.fi,fi
3889,filmweb.pl,pl
3890,vanityfair.it,it
3926,dns.pt,pt
3934,www.gov.pl,pl
3954,amazon.pl,pl
3964,abola.pt,pt
3985,rfi.fr,fr
4030,juntadeandalucia.es,es
4031,cldin.eu,eu
4088,lesechos.fr,fr
4097,medallia.eu,eu
4139,nlnetlabs.nl,nl
4153,glasvezelactiveren.nl,nl
4237,nazwa.pl,pl
4248,cwi.nl,nl
4256,google.bg,bg
4262,index.hu,hu
4287,derstandard.at,at
4317,independent.ie,ie
4358,sky.it,it
4362,nirvam.it,it
4374,20minutos.es,es
4390,deltafibernederland.nl,nl
4441,pin.it,it
4464,justpaste.it,it
4467,gazeta.pl,pl
4475,eldiario.es,es
4476,google.sk,sk
4483,aepd.es,es
4509,20minutes.fr,fr
4520,uu.nl,nl
4546,cyberfolks.pl,pl
4584,lastampa.it,it
4592,google.ro,ro
4612,google.hu,hu
4639,nic.fr,fr
4737,vrt.be,be
4775,boe.es,es
4780,browser-intake-datadoghq.eu,eu
4810,telenor.se,se
4889,bnf.fr,fr
4921,telegraaf.nl,nl
4944,dr.dk,dk
4948,ameli.fr,fr
4949,meganameservers.eu,eu
4970,zoho.eu,eu
4974,nic.cz,cz
5011,letour.fr,fr
5012,eleconomista.es,es
5019,telenet.be,be
5033,tvp.pl,pl
5037,tiktokw.eu,eu
5046,tripadvisor.fr,fr
